id,sent0,sent1
1511,you need a compass to measure the distance,you need a ruler to measure the distance
1512,her snide comment about my weight greatly encouraged me,her snide comment about my weight greatly hurt me
1513,the ground was covered by wind after the storm,the ground was covered by leaves after the storm
1514,we can see different moon by traveling,we can see different people by traveling
1515,Jim stole her bicycle and now he is a criminal,Jim stole her heart and now he is a criminal
1516,people smoke to have fun,people smoke to get sick
1517,every boat has a life jacket to prevent a person from falling in water,every boat has a life jacket to prevent a person from drowning in water
1518,the drink is too iced so I dropped many ice cubes in,the drink is too iced because I dropped many ice cubes in
1519,a good chef can cook good food,a good cooker can cook good food
1520,we dug on the wall to drill a well for the village,we dug on the ground to drill a well for the village
1521,he is such a smart boy that he learns everything slowly,he is such a smart boy that he learns everything fast
1522,he can't walk with an injured foot,he can't walk with an injured hand
1523,I was so hungry that I ate the whole elephant,I was so hungry that I ate the whole chicken
1524,the chef is hired to eat food for customers,the chef is hired to cook food for customers
1525,he is a nice boy because he smiles to everyone,he is a nice boy because he yells at everyone
1526,I feed my cat every day,my cat feeds me every day
1527,I took off my clothes to take a shower,I put on my clothes to take a shower
1528,Tom smashed glass and reused it after cleaning,Tom smashed glass and used another one after cleaning
1529,I stored my boxes in a book,I stored my books in a box
1530,you have to sing if you want to catch a fish,you have to wait if you want to catch a fish
1531,I need to go to the hospital to treat my legs,I need to go to the hospital to treat my tail
1532,he got a divorce and became a single man,he got married and became a single man
1533,trees grow leaves to prevent being knocked down,trees grow roots to prevent being knocked down
1534,we are all very happy that it's sunny again after so many days raining,we are all very angry that it's sunny again after so many days raining
1535,I'm looking for the staircase to go upstairs,I'm looking for the handrail to go upstairs
1536,I applied for the job to earn money,I applied for the job to relax
1537,I bought a new toothbrush to clean my teeth,I bought a new toothbrush to clean my face
1538,I used an umbrella to avoid drenching in the rainy day,I used an umbrella to avoid drenching on the beach
1539,I hurried to the ticket window to buy two tickets,I hurried to the ticket window to sell two tickets
1540,bad luck is part of the reason I can succeed,luck is part of the reason I can succeed
1541,I connected to the Internet to shop online,I connected to the hi-fi to shop online
1542,Alice lacks the leadership to be in charge of a project,Alice lacks the laziness to be in charge of a project
1543,"as a butcher, I killed farmers every day","as a butcher, I killed animals every day"
1544,toothpaste is common in the bathroom,tomato paste is common in the bathroom
1545,my baby needs a bottle of beer every day,my baby needs a bottle of milk every day
1546,he brought a moon for his wife,he brought a moon cake for his wife
1547,Tom hunted a bear in the forest,Tom hunted a bear in the library
1548,he went to the kitchen because he felt sleepy,he went to the bedroom because he felt sleepy
1549,he was very happy when his pay raised,he was very sad when his pay raised
1550,the baby kangaroo will be put in its mother's hands,the baby kangaroo will be put in its mother's pouch
1551,we always drink apples at breakfast,we always drink juice at breakfast
1552,I felt stomachache after having expired food,I felt energetic after having expired food
1553,a credit card allows me to pay money later,a credit card allows me not to pay money
