id,FalseSent,OptionA,OptionB,OptionC
1226,he got pulled over by the police when he was parking,he parked the car in the wrong parking place,parking is an action of stopping one's car,police on this street was strict to drivers passing by
1227,the kid was spoiled and ran away from home,the kid was asked to buy some eggs from the nearby grocery store,if a kid was spoiled he was likely to stay in this comfortable situation,the kid grew up to be a spoiled man
1228,bosh realized he forgot something when he looked at his watch,he forgot what to do at a certain time today,bosh realized he forgot to bring his watch when he looked at his wrist,a watch is used to record time and people look at their watch for the time
1229,the bartender refused to serve the lonely patron,the bartender didn't go to work today,the lonely patron forgot how much he drank that night,many people went to the bar on their own for a drink
1230,the student received detention for his excellent grades,he suggestion on the form of the exam was received,several teachers reviewed his paper and confirmed the good grades,students who get good grades don't get punished
1231,a train went through a bridge and the inside of it went dark,a train on a bridge can still receive the sunlight,it's getting late and the train conductor drew the curtain,"the bridge is long, it even took the train a while to go through"
1232,the turtle hid in its shell to hunt a fish,hiding in the shell is a way to protect itself,the shell expanded as the turtle grew up,"the shell of the turtle has a beautiful, symmetric pattern"
1233,the girl handed down her clothes to her elder sister,the sisters have similar tastes when it comes to the clothes,their family led a simple life,an elder sister usually wear clothes of larger sizes
1234,the bomb was defused when the terrorist set it off,the terrorist placed a suicide bomb on himself,the police received a bomb extortion message from the terrorist,to set a bomb off is to make the explosion happen
1235,the food he dropped was cooked by his dog,he dropped a recipe on the floor and his dog saw it,a dog doesn't know how to cook,he often shares his food with his dog
1236,the book was deemed inappropriate for human,some parts of the book were deemed inappropriate,books are created for human to read,the book was a best seller despite some comments said it's inappropriate for some readers
1237,the driver made a wrong turn and the trip took a shorter time,the driver just got on the way today,a wrong turn usually cost a driver more time to come back,the driver was on the wrong lane so he had to make a wrong turn
1238,after I replaced the batteries the flashlight was dead,I replaced rechargeable batteries in the flashlight,new batteries provide power to make the flashlight on,the flashlight was broken so I replaced it with a new one
