id,FalseSent,OptionA,OptionB,OptionC
5947,"it's a good time to exercise outside, because it's rainy",exercising in the rainy days is many people's choice,"rainy road slippery, not suitable for exercise",choosing a good time to exercise is just like choosing a rainy day
5948,"after the dinner, I would like to eat desert",eating dinner in the desert is not a good choice,the people who explore the desert may not have so many chances to enjoy their dinner,"desert is so big and made of sand, nobody can eat it"
5949,I drank a lot of oil after strenuous exercise,drinking oil has no effect on relieving fatigue after exercise,burning the oil can provide energy for the machine to exercise,we may burn some oil in our body during strenuous exercise
5950,"because it's very hot, I'd like to swim in the lava",the temperature in lava is hot,swimming in the lava is not only hot but also cool,swimming in the lava is not only hot but very dangerous
5951,"compared to the ant, we're so small in scale",the ant itself is so small in scale,we're much bigger than the ant in scale,the small in scale of the ant is its weakness compared to us
5952,the lights were installed in a meeting for a safe landing,the meeting atmosphere is sturdy,some lights can bring hope to the meeting,any meeting doesn't need a safe landing with the aid of lights
5953,falling into boiling water makes him feel happy,falling into boiling water is a funny action that can make other people happy,being happy is better than falling into boiling water,people who fall into boiling water can feel pain and even life-threatening
5954,personal mushrooms are kept in oven to keep fresh,the taste of fresh mushrooms kept in oven can be delicious,"being kept in oven can make mushrooms cooked, not fresh",cooked in oven can keep the fresh flavour of the mushrooms to some degree
5955,a dance is a great way for him to bounce,bouncing maybe a part of one's dance action,bouncing can help people stretch themselves to perform better in dancing,a dance doesn't have evident effect on bouncing
5956,the river belongs to a drop of water,"a drop of water belongs to the river, instead of the opposite",the river is made up of a lot of drops of water,a drop of water may come from different rivers
5957,the desert belongs to a grain of sand,the desert is made up of a lot grains of sand,a grain of sand may come from different deserts,"a grain of sand belongs to the desert, instead of the opposite"
5958,"it's so cold, and I'm going to drink some lava",the lava is hot enough,we cannot drink lava because it will become stone when it gets cold,drinking some lava is very dangerous
5959,the sun goes around the earth,the earth is revolved by the gravitational pull of the sun,the sun rises and falls,the sun goes faster than the sun
5960,ten peaches were eaten three and eight remained,one peach may be divided into two halves,three plus eight is smaller than ten,"ten minus three equals seven, not eight"
5961,Bob closed his eyes and watched TV with his parents,Bob close his eyes for some rest during watching TV,there may be some music program in the TV,one cannot watch TV without his eyes
5962,he was beaten by his mother because he did study well,"generally speaking, parents would like to see their children study well",mother was jealous because I study better than her,"without the beat from his mother, he cannot study so well"
5963,it shines cats and dogs outside,it' so shinny that we can see cats and dogs clearly,shining cats and dogs does not make any sense,"it shines cats and dogs, but doesn't shine people"
5964,"as he gets cold, his mother asks him to drink more cold water",drinking more cold water can help to get more cold,you should drink more hot water instead of cold water when you have a cold,drinking cold water can prevent the body temperature caused by a cold from getting too high
