id,sent0,sent1
5280,"I'm allergic to seafood, so I cannot eat crab","I'm allergic to seafood, so I cannot eat steak"
5281,I want coffee with garlic,I want coffee with dessert
5282,steam condenses to water when it touches a cold surface,steam condenses to oxygen when it touches a cold surface
5283,I sat on the plane and squashed it,I sat on the tomato and squashed it
5284,water is high in fat and sugar,ice cream is high in fat and sugar
5285,"now Mary is in China, and she swims in a hospital in Shanghai","now Mary is in China, and she works in a hospital in Shanghai"
5286,the kitchen cupboard was stocked with tins of soup,the bathroom cupboard was stocked with tins of soup
5287,we use computer to clean our teeth,we use toothpaste to clean our teeth
5288,marina ate only one slice of bread for breakfast,marina ate only one slice of soup for breakfast
5289,"he works five days each hour, from Monday to Friday","he works five days each week, from Monday to Friday"
5290,I cut a coconut from the tree and let it fall to the earth,I cut a coconut from the tree and let it fall to the space
5291,we have a walking tour of the city with our guide,we have a walking tour of the sun with our guide
5292,he lifts me to his shoulder,he lifts me to his liver
5293,try a hot bath with some relaxing bath oil,try a hot soup with some relaxing bath oil
5294,he picked up his mug and blew off the steam,he picked up his train and blew off the steam
5295,pull the oxygen mask towards you to cover your mouth and nose,pull the oxygen mask towards you to cover your mouth and hands
5296,I'm the host of a live radio program,I'm the cook of a live radio program
5297,the lamp gave out light,the lamp gave out wind
5298,remember to bring an apron to protect your clothes,remember to bring a bikini to protect your clothes
5299,I bought this book at the new butcher's shop,I bought this chicken at the new butcher's shop
5300,she took a fresh rose out of the vase,she took a fresh steak out of the vase
5301,"he has to remove the stone from his shoe, or it will hurts his foot","he has to remove the stone from his shoe, or it will hurts his hands"
5302,I can put your house on my shoulder,I can put your bag on my shoulder
5303,the vet prescribed a medicine to worm my puppy,the butcher prescribed a medicine to worm my puppy
5304,he is eating a huge volcano,he is painting a huge volcano
5305,you need to take off your make-up with car,you need to take off your make-up with remover
5306,she was sitting at the table eating a currant bun,she was sitting at the table eating a currant bag
5307,a trained dog can act as a guide to a blind person,a trained snake can act as a guide to a blind person
5308,you can get a drink out of a steak,you can get a drink out of a coconut
5309,I have the lunch in the radio with my classmates,I have the lunch in the canteen with my classmates
5310,he had a steak and a green bike,he had a steak and a green salad
5311,does he know he's got gasoline on his mouth?,does he know he's got toothpaste on his mouth?
5312,a person who is allergic to nuts can't eat meat,a person who is allergic to nuts can't eat cashews
5313,the gardener was moaning that he had another garden to do later,the nurse was moaning that he had another garden to do later
5314,the banana tree has broad cupboards,the banana tree has broad leaves
5315,a knife absorbs water,a sponge absorbs water
5316,I did a battery testing in my garage,I did a body testing in my garage
5317,I need a comb so that I can tidy my hair,I need a toothbrush so that I can tidy my hair
5318,he got his winter jacket from the fridge,he got his winter jacket from the closet
5319,he stuck his gloves in his oven,he stuck his gloves in his pocket
5320,the car fit into our kitchen very well,the car fit into our garage very well
5321,I love watching films so I usually go to the cinema,I love watching films so I usually go to the school
5322,I have booked a table at the restaurant,I have booked a table at the ocean
5323,a magnet attracts plastic,a magnet attracts iron
5324,the waiter offered him white wine with his meal,the waiter offered him white wine with his disease
5325,the meat is roasting in the oven,the meat is roasting in the fridge
5326,lip balm is a moisturizer especially made for your lips,lip balm is a moisturizer especially made for your scalp
5327,fruit dessert made of fish and pork,fruit dessert made of oranges and bananas
5328,I had my hair cut in a barber' car,I had my hair cut in a barber' shop
5329,Nancy took her car to a local garage for a check-up,Nancy took her cat to a local garage for a check-up
